id;Название_ru;Name_en;id_станции;Направление;lat;lon
19380;Химкинский б-р, ул. Героев Панфиловцев;Himkinskij boulevard, ul. Geroev Panfilovcev;127;out;55.85152271;37.44047571
19381;Химкинский б-р, ул. Героев Панфиловцев;Himkinskij boulevard, ul. Geroev Panfilovcev;127;in;55.85152271;37.44047571
19390;ул. Сходненская, Химкинский б-р;ul. Shodnenskaja, Himkinskij boulevard;127;both;55.84972744;37.44075797
19400;"ул. Сходненская, к/т ""Полет""";"ul. Shodnenskaja, cinema ""Polet""";127;both;55.84920863;37.44076597
19410;"Химкинский б-р, ТРЦ ""Калейдоскоп""";"Himkinskij boulevard, shopping mall ""Kalejdoskop""";127;both;55.84959831;37.44110537
19420;ул. Большие Каменщики, ул. Народная;ul. Bol'shie Kamenschiki, ul. Narodnaja;116;both;55.73930287;37.6530166
19430;Таганская площадь, ул. Большие Каменщики;Taganskaja square, ul. Bol'shie Kamenschiki;116;both;55.73974221;37.6534188
19440;ул. Большие Каменщики, пер. Маяковского;ul. Bol'shie Kamenschiki, per. Majakovskogo;116;both;55.73947092;37.65363683
19450;Таганская площадь;Taganskaja square;72;in;55.74235439;37.65371079
19451;ул. Верхняя Радищевская;ul. Verhnjaja Radischevskaja;72;out;55.74245201;37.65363486
19460;ул. Большая Бронная, Макдональдс;ul. Bol'shaja Bronnaja, McDonalds;119;both;55.76528978;37.60402482
19461;ул. Большая Бронная, Макдональдс;ul. Bol'shaja Bronnaja, McDonalds;33;both;55.76528978;37.60402482
19462;ул. Тверская, Малый Палашевский пер.;ul. Tverskaja, Malyj Palashevskij per.;119;both;55.76547377;37.60370249
19463;ул. Тверская, Малый Палашевский пер.;ul. Tverskaja, Malyj Palashevskij per.;33;both;55.76547377;37.60370249
19470;"Тверской бульвар, ресторан ""Армения""";"Tverskoj boulevard, restaurant ""Armenija""";119;both;55.76434773;37.60552669
19471;"Тверской бульвар, ресторан ""Армения""";"Tverskoj boulevard, restaurant ""Armenija""";33;both;55.76434773;37.60552669
19472;ул. Тверская, Большой Гнездниковский пер.;ul. Tverskaja, Bol'shoj Gnezdnikovskij per.;119;both;55.76434416;37.6057335
19473;ул. Тверская, Большой Гнездниковский пер.;ul. Tverskaja, Bol'shoj Gnezdnikovskij per.;33;both;55.76434416;37.6057335
19474;ул. Тверская, Настасьинский пер.;ul. Tverskaja, Nastas'inskij per.;119;both;55.7656977;37.60402055
19475;ул. Тверская, Настасьинский пер.;ul. Tverskaja, Nastas'inskij per.;33;both;55.7656977;37.60402055
19480;ул. Большая Дмитровка;ul. Bol'shaja Dmitrovka;32;in;55.75880018;37.6175485
19481;ул. Большая Дмитровка;ul. Bol'shaja Dmitrovka;10;in;55.75880018;37.6175485
19482;ул. Большая Дмитровка;ul. Bol'shaja Dmitrovka;32;out;55.75880018;37.6175485
19483;ул. Большая Дмитровка;ul. Bol'shaja Dmitrovka;10;out;55.75880018;37.6175485
19484;Театральная площадь, Большой театр;Teatral'naja square, Bol'shoj theatre;32;in;55.75889328;37.6180289
19485;Театральная площадь, Большой театр;Teatral'naja square, Bol'shoj theatre;10;in;55.75889328;37.6180289
19486;Театральная площадь, Большой театр;Teatral'naja square, Bol'shoj theatre;32;out;55.75889328;37.6180289
19487;Театральная площадь, Большой театр;Teatral'naja square, Bol'shoj theatre;10;out;55.75889328;37.6180289
19490;ул. Шоссейная, рынок;ul. Shossejnaja, market;113;out;55.70852416;37.72888335
19491;ул. Шоссейная, рынок;ul. Shossejnaja, market;113;in;55.70852416;37.72888335
19500;"Волгоградский пр-т, ул. Люблинская, к/т ""Молодежный""";"Volgogradskij prospekt, ul. Ljublinskaja, cinema ""Molodezhnyj""";113;out;55.70955166;37.73313156
19501;"Волгоградский пр-т, ул. Люблинская, к/т ""Молодежный""";"Volgogradskij prospekt, ul. Ljublinskaja, cinema ""Molodezhnyj""";113;in;55.70955166;37.73313156
19510;"Волгоградский пр-т, стадион ""Москвич""";"Volgogradskij prospekt, staduim ""Moskvich""";113;out;55.70897808;37.73367213
19511;"Волгоградский пр-т, стадион ""Москвич""";"Volgogradskij prospekt, staduim ""Moskvich""";113;in;55.70897808;37.73367213
19520;"ул. Люблинская, ТЦ ""Текстильщики""";"ul. Ljublinskaja, shopping mall ""Tekstil'schiki""";113;out;55.70818992;37.72985514
19521;"ул. Люблинская, ТЦ ""Текстильщики""";"ul. Ljublinskaja, shopping mall ""Tekstil'schiki""";113;in;55.70818992;37.72985514
19530;Волгоградский пр-т, 1-й Саратовский пр-д;Volgogradskij prospekt, 1st Saratovskij proezd;113;out;55.70955785;37.73362674
19531;Волгоградский пр-т, 1-й Саратовский пр-д;Volgogradskij prospekt, 1st Saratovskij proezd;113;in;55.70955785;37.73362674
19540;"Волгоградский пр-т, КЦ ""Москвич""";"Volgogradskij prospekt, culture center ""Moskvich""";113;out;55.70896982;37.73316044
19541;"Волгоградский пр-т, КЦ ""Москвич""";"Volgogradskij prospekt, culture center ""Moskvich""";113;in;55.70896982;37.73316044
19550;"ж/д платформа ""Текстильщики""";"railway platform ""Tekstil'schiki""";113;out;55.70826387;37.72934973
19551;"ж/д платформа ""Текстильщики""";"railway platform ""Tekstil'schiki""";113;in;55.70826387;37.72934973
19552;"ж/д платформа ""Текстильщики""";"railway platform ""Tekstil'schiki""";113;in;55.70826604;37.72965905
19560;"ул. Профоюзная, к/т ""Аврора"", ТЦ ""Тёплый стан""";"ul. Profojuznaja, cinema ""Avrora"", shopping mall ""Tjoplyj stan""";107;both;55.6200665;37.50556132
19561;ул. Профсоюзная, ул. Тёплый Стан;ul. Profsojuznaja, ul. Tjoplyj Stan;107;both;55.61976266;37.50521447
19570;ул. Профсоюзная, Палеонтологический музей;ul. Profsojuznaja, Paleontologicheskij museum;107;both;55.61976045;37.50641319
19571;"ул. Профсоюзная, ТЦ ""Принц Плаза"", автобусы";"ul. Profsojuznaja, shopping mall ""Princ Plaza"", bus stops";107;both;55.61944217;37.50604968
19580;"ТРЦ ""Спектр""";"shopping mall ""Spektr""";107;both;55.61953443;37.50734481
19590;Новоясеневский пр-т, автостанция;Novojasenevskij prospekt, bus station;107;both;55.61743185;37.5078623
19591;Новоясеневский пр-т, автостанция;Novojasenevskij prospekt, bus station;107;both;55.61723831;37.50839853
19600;"Новоясеневский пр-т, ТЦ ""Принц Плаза""";"Novojasenevskij prospekt, shopping mall ""Princ Plaza""";107;both;55.61774886;37.50823273
19601;"Новоясеневский пр-т, ТЦ ""Принц Плаза""";"Novojasenevskij prospekt, shopping mall ""Princ Plaza""";107;both;55.61757613;37.50872318
19610;ж/д станция, ул. Яблочкова;railway station, ul. Jablochkova;134;both;55.81933636;37.57627402
19612;монорельс, ул. Яблочкова;monorail, ul. Jablochkova;134;both;55.81903308;37.57650852
19614;ж/д платформа, пандус;railway platform, ramp;134;both;55.81895261;37.57617374
19621;Дмитровское шоссе, ул. Ивановская;Dmitrovskoe shosse, ul. Ivanovskaja;134;both;55.81898388;37.57435007
19623;Дмитровское шоссе, ул. Костякова;Dmitrovskoe shosse, ul. Kostjakova;134;both;55.81862037;37.57454813
19625;Дмитровское шоссе, парковка, ж/д станция;Dmitrovskoe shosse, parking, railway station;134;both;55.81908932;37.57493555
19627;Дмитровское шоссе, автобусная остановка;Dmitrovskoe shosse, bus stop;134;both;55.81869541;37.57516407
19640;ул. Большая Ордынка, Климентьевский пер.;ul. Bol'shaja Ordynka, Kliment'evskij per.;97;both;55.74075655;37.62567756
19641;ул. Большая Ордынка, Климентьевский пер.;ul. Bol'shaja Ordynka, Kliment'evskij per.;85;both;55.74075655;37.62567756
19650;Рождественский б-р, Петровский б-р;Rozhdestvenskij boulevard, Petrovskij boulevard;166;both;55.76780565;37.62195084
19651;Цветной б-р, Московский цирк Никулина;Cvetnoj boulevard, Moscow Cirсus;138;both;55.7716617;37.6207581
19660;Третье транспортное кольцо, ж/д платформа ЗИЛ;"3rd Transport Ring, railway platform ""ZIL""";143;out;55.70777505;37.62251531
19661;Третье транспортное кольцо, ж/д платформа ЗИЛ;"3rd Transport Ring, railway platform ""ZIL""";143;in;55.70777505;37.62251531
19670;Серпуховский вал;Serpuhovskij val;143;out;55.70959085;37.62262558
19671;Серпуховский вал;Serpuhovskij val;143;in;55.70959085;37.62262558
19680;Сретенский б-р, пер. Фролов;Sretenskij boulevard, per. Frolov;95;out;55.76548113;37.6364555
19681;Сретенский б-р, пер. Фролов;Sretenskij boulevard, per. Frolov;95;in;55.76548113;37.6364555
19682;Сретенский б-р, пер. Фролов;Sretenskij boulevard, per. Frolov;219;out;55.76548113;37.6364555
19683;Сретенский б-р, пер. Фролов;Sretenskij boulevard, per. Frolov;219;in;55.76548113;37.6364555
19684;Сретенский б-р, пер. Фролов;Sretenskij boulevard, per. Frolov;8;out;55.76548113;37.6364555
19685;Сретенский б-р, пер. Фролов;Sretenskij boulevard, per. Frolov;8;in;55.76548113;37.6364555
19690;Тургеневская площадь, ул. Мясницкая;Turgenevskaja square, ul. Mjasnickaja;95;out;55.76525884;37.63695542
19691;Тургеневская площадь, ул. Мясницкая;Turgenevskaja square, ul. Mjasnickaja;95;in;55.76525884;37.63695542
19692;Тургеневская площадь, ул. Мясницкая;Turgenevskaja square, ul. Mjasnickaja;219;out;55.76525884;37.63695542
19693;Тургеневская площадь, ул. Мясницкая;Turgenevskaja square, ul. Mjasnickaja;219;in;55.76525884;37.63695542
19694;Тургеневская площадь, ул. Мясницкая;Turgenevskaja square, ul. Mjasnickaja;8;out;55.76525884;37.63695542
19695;Тургеневская площадь, ул. Мясницкая;Turgenevskaja square, ul. Mjasnickaja;8;in;55.76525884;37.63695542
19700;Волоколамское шоссе, Тушинский рынок;Volokolamskoe shosse, Tushinskij market;126;both;55.82559784;37.43598623
19710;Волоколамское шоссе, Макдональдс;Volokolamskoe shosse, McDonalds;126;both;55.8253932;37.43694936
19720;пр-д Стратонавтов, автостанция;proezd Stratonavtov, bus station;126;both;55.82732057;37.43740312
19722;"пр-д Стратонавтов, ТЦ ""Покровское-Стрешнево""";"proezd Stratonavtov, shopping mall ""Pokrovskoe-Streshnevo""";126;both;55.82741844;37.43692267
19730;ул. Тушинская, завод ЖБИ;ul. Tushinskaja, construction plant;126;both;55.82816915;37.43813548
19732;"ж/д платформа ""Тушино""";"railway platform ""Tushino""";126;both;55.8278861;37.43804928
19740;ул. Горчакова;ul. Gorchakova;194;both;55.54218355;37.53208758
19750;ул. 1905 года, Звенигородское шоссе, ул. Большая Декабрьская;ul. 1905 goda, Zvenigorodskoe shosse, ul. Bol'shaja Dekabr'skaja;121;both;55.7653923;37.56045765
19760;ул. 1905 года, ул. Сергея Макеева;ul. 1905 goda, ul. Sergeja Makeeva;121;both;55.76569201;37.56017208
19770;Варшавское шоссе, автобусная остановка;Varshavskoe shosse, bus stop;162;both;55.59430826;37.60105937
19780;7-й пр-д Подбельского, ул. Ивантеевская (четная сторона);Sed'moj proezd Podbel'skogo, ul. Ivanteevskaja (even side);1;both;55.81503956;37.73209496
19790;7-й пр-д Подбельского, ул. Ивантеевская (нечетная сторона);Sed'moj proezd Podbel'skogo, ul. Ivanteevskaja (odd side);1;both;55.81535518;37.73296161
19800;Открытое шоссе;Otkrytoe shosse;1;both;55.81324997;37.73517422
19810;ул. Ивантеевская, Открытое шоссе;ul. Ivanteevskaja, Otkrytoe shosse;1;both;55.8134929;37.73515452
